Date,Monthly Active Users (Millions),Year,Paying Subscribers (Millions)
Q1 2015,68,2015,18
Q2 2015,77,2015,22
Q3 2015,82,2015,24
Q4 2015,91,2015,28
Q1 2016,96,2016,30
Q2 2016,104,2016,36
Q3 2016,113,2016,40
Q4 2016,123,2016,48
Q1 2017,132,2017,52
Q2 2017,138,2017,59
Q3 2017,149,2017,62
Q4 2017,160,2017,71
Q1 2018,157,2018,75
Q2 2018,180,2018,83
Q3 2018,191,2018,87
Q4 2018,207,2018,96
Q1 2019,217,2019,100
Q2 2019,232,2019,108
Q3 2019,248,2019,113
Q4 2019,271,2019,124
Q1 2020,286,2020,130
Q2 2020,299,2020,138
Q3 2020,320,2020,144
Q4 2020,345,2020,155
Q1 2021,356,2021,158
Q2 2021,365,2021,165
Q3 2021,381,2021,172
Q4 2021,406,2021,180
Q1 2022,422,2022,182
Q2 2022,433,2022,188
Q3 2022,456,2022,195
Q4 2022,489,2022,205
Q1 2023,515,2023,210
Q2 2023,551,2023,220
Q3 2023,574,2023,226
Q4 2023,602,2023,236
Q1 2024,615,2024,239
Q2 2024,626,2024,246
Q3 2024,640,2024,252
Q4 2024,675,2024,263
