Year,Quarter,MAU,Premium,Date,Free_Users,Premium_Percentage,MAU_QoQ_Growth,Premium_QoQ_Growth,MAU_YoY_Growth,Premium_YoY_Growth
2015,4,91,28,2015-10-01,63,30.8,,,,
2016,4,123,48,2016-10-01,75,39.0,35.164835164835175,71.42857142857142,,
2017,4,160,71,2017-10-01,89,44.4,30.081300813008127,47.91666666666667,,
2018,4,207,96,2018-10-01,111,46.4,29.374999999999996,35.2112676056338,,
2019,4,271,124,2019-10-01,147,45.8,30.917874396135268,29.166666666666675,197.8021978021978,342.8571428571429
2020,4,345,155,2020-10-01,190,44.9,27.306273062730636,25.0,180.48780487804876,222.91666666666666
2021,1,356,158,2021-01-01,198,44.4,3.1884057971014457,1.9354838709677358,122.50000000000001,122.53521126760565
2021,2,365,165,2021-04-01,200,45.2,2.528089887640439,4.430379746835444,76.32850241545894,71.875
2021,3,381,172,2021-07-01,209,45.1,4.383561643835621,4.2424242424242475,40.59040590405905,38.70967741935485
2021,4,406,180,2021-10-01,226,44.3,6.5616797900262425,4.651162790697683,17.68115942028985,16.129032258064523
2022,1,422,182,2022-01-01,240,43.1,3.9408866995073843,1.1111111111111072,18.53932584269662,15.189873417721511
2022,2,433,188,2022-04-01,245,43.4,2.6066350710900466,3.296703296703307,18.63013698630136,13.939393939393941
2022,3,456,195,2022-07-01,261,42.8,5.311778290993074,3.7234042553191404,19.685039370078748,13.372093023255815
2022,4,489,205,2022-10-01,284,41.9,7.236842105263164,5.128205128205132,20.443349753694573,13.888888888888884
2023,1,515,210,2023-01-01,305,40.8,5.316973415132931,2.4390243902439046,22.03791469194314,15.384615384615374
2023,2,551,220,2023-04-01,331,39.9,6.990291262135928,4.761904761904767,27.25173210161662,17.021276595744684
2023,3,574,226,2023-07-01,348,39.4,4.174228675136127,2.7272727272727337,25.877192982456144,15.897435897435908
2023,4,602,236,2023-10-01,366,39.2,4.878048780487809,4.424778761061954,23.1083844580777,15.121951219512187
2024,1,615,242,2024-01-01,373,39.3,2.1594684385382035,2.5423728813559254,19.41747572815533,15.238095238095228
2024,2,626,249,2024-04-01,377,39.8,1.788617886178856,2.892561983471076,13.611615245009068,13.181818181818183
2024,3,640,255,2024-07-01,385,39.8,2.2364217252396124,2.4096385542168752,11.498257839721248,12.831858407079654
2024,4,656,262,2024-10-01,394,39.9,2.499999999999991,2.7450980392156765,8.97009966777409,11.016949152542367
